Sr No.,Player me,Team Code,Age,Player Height,Player_Weight,country,draft_year,draft_round,draft_number,pts,net_rating
0,Travis Knight,LAL,22,213.36,106.59412,USA,1996,1,29,4.8,6.2
1,Matt Fish,MIA,27,210.82,106.59412,USA,1992,2,50,0.3,-15.1
2,Matt Bullard,HOU,30,208.28,106.59412,USA,,,,4.5,0.9
3,Marty Conlon,BOS,29,,111.13004,USA,,,,7.8,-9
4,Martin Muursepp,DAL,22,205.74,106.59412,USA,1996,1,25,3.7,-14.5
5,Martin Lewis,TOR,22,198.12,102.0582,USA,1995,2,50,1.6,-3.5
6,Mark West,CLE,36,208.28,111.583632,USA,1983,2,30,3.2,3.5
7,Mark Strickland,MIA,26,208.28,99.79024,USA,,,,2,-17.1
8,Mark Price,GSW,33,182.88,81.64656,USA,1986,2,25,11.3,-3.1
9,Mark Jackson,IND,32,190.5,83.91452,USA,1987,1,18,9.9,-2
10,Mark Hendrickson,PHI,23,205.74,99.79024,USA,1996,2,31,2.9,-5.1
11,Mark Davis,PHI,24,200.66,95.25432,USA,1995,2,48,8.5,-7.4
12,Mark Bryant,PHX,32,205.74,111.13004,USA,1988,1,21,9.3,3.3
13,Mark Bradtke,PHI,28,208.28,120.20188,USA,,,,1.6,0.9
14,Mario Elie,HOU,33,195.58,95.25432,USA,1985,7,160,11.7,5.6
15,Marcus Camby,TOR,23,,99.79024,USA,1996,1,2,14.8,-1.5
16,Marcus Brown,POR,23,190.5,83.91452,USA,1996,2,46,3.9,4
17,Malik Sealy,LAC,27,203.2,90.7184,USA,1992,1,14,13.5,-8
18,Malik Rose,CHH,22,200.66,113.398,USA,1996,2,44,3,1.3
19,Mahmoud Abdul-Rauf,SAC,28,185.42,73.481904,USA,1990,1,3,13.7,-4.9
20,Lucious Harris,PHI,26,195.58,92.98636,USA,1993,2,28,5.4,-5.5
21,Luc Longley,CHI,28,218.44,132.448864,USA,1991,1,7,9.1,10.4
22,Loy Vaught,LAC,29,205.74,108.86208,USA,1990,1,13,14.9,-7.7
23,Lou Roe,GSW,24,200.66,99.79024,USA,1995,2,30,2.4,-14.4
24,Matt Geiger,CHH,27,215.9,111.13004,USA,1992,2,42,8.9,0.9
25,Matt Maloney,HOU,25,190.5,90.7184,USA,,,,9.4,6.3
26,Matt Steigenga,CHI,27,200.66,102.0582,USA,1992,2,52,1.5,-19.8
27,Melvin Booker,GSW,24,187.96,83.91452,USA,,,,5.8,-3.8
28,Pervis Ellison,BOS,30,205.74,95.25432,USA,1989,1,1,2.5,1.2
29,Patrick Ewing,NYK,34,213.36,108.86208,Jamaica,1985,1,1,22.4,6.4
30,P.J. Brown,MIA,27,210.82,108.86208,USA,1992,2,29,9.5,7.4
31,Otis Thorpe,DET,34,,111.583632,USA,1984,1,9,13.1,6.2
32,Othella Harrington,HOU,23,205.74,106.59412,USA,1996,2,30,4.8,0.4
33,Oliver Miller,TOR,27,205.74,140.61352,USA,1992,1,22,4.8,-1
34,Olden Polynice,SAC,32,213.36,113.398,USA,1987,1,8,12.5,-3.2
35,Nick Van Exel,LAL,25,185.42,83.007336,USA,1993,2,37,15.3,3.8
36,Nick Anderson,ORL,29,198.12,103.418976,USA,1989,1,11,12,3.6
37,te McMillan,SEA,32,195.58,90.7184,USA,1986,2,30,4.6,14.1
38,te Driggers,BOS,23,195.58,97.52228,USA,,,,2.4,-24
39,Lorenzo Williams,WAS,27,205.74,104.32616,USA,,,,2.4,-10.9
40,Muggsy Bogues,CHH,32,160.02,63.956472,USA,1987,1,12,8,6
41,Moochie Norris,VAN,23,187.96,85.275296,USA,1996,2,33,1.5,-30.5
42,Monty Williams,SAS,25,203.2,102.0582,USA,1994,1,24,9,-6.3
43,Mitchell Butler,POR,26,195.58,95.25432,USA,,,,3,4.6
44,Mitch Richmond,SAC,32,195.58,97.52228,USA,1988,1,5,25.9,-2
45,Mike Brown,PHX,33,208.28,117.93392,USA,1985,3,69,2.7,1.7
46,Michael Smith,SAC,25,203.2,104.32616,USA,1994,2,35,6.5,-1.8
47,Michael Jordan,CHI,34,198.12,97.975872,USA,1984,1,3,29.6,13.4
48,Michael Hawkins,BOS,24,182.88,80.739376,USA,,,,2.8,-10.3
49,Michael Finley,DAL,24,200.66,97.52228,USA,1995,1,21,15,-6.5
50,Michael Curry,DET,28,195.58,95.25432,USA,,,,3.9,6.7
51,Michael Cage,PHI,35,205.74,112.490816,USA,1984,1,14,1.8,-12
52,Mookie Blaylock,ATL,30,185.42,83.91452,USA,1989,1,12,17.4,10.5
53,Pooh Richardson,LAC,31,,81.64656,USA,1989,1,10,5.6,-5.2
54,Lorenzen Wright,LAC,21,210.82,108.86208,USA,1996,1,7,7.3,-3.7
55,Lloyd Daniels,NJN,29,200.66,92.98636,USA,,,,4.5,-8.9
56,Keith Askins,MIA,29,203.2,101.604608,USA,,,,4.9,6.1
57,Karl Malone,UTA,33,205.74,116.119552,USA,1985,1,13,27.4,12.8
58,Juwan Howard,WAS,24,205.74,113.398,USA,1994,1,5,19.1,1.3
59,Jud Buechler,CHI,29,198.12,103.418976,USA,1990,2,38,1.8,5.4
60,Jon Barry,ATL,27,195.58,92.98636,USA,1992,1,21,4.9,5
61,Johnny Newman,MIL,33,200.66,90.7184,USA,1986,2,29,8.7,0.2
62,John Wallace,NYK,23,205.74,102.0582,USA,1996,1,18,4.8,2.7
63,John Stockton,UTA,35,185.42,79.3786,USA,1984,1,16,14.4,11.4
64,John Starks,NYK,31,195.58,83.91452,USA,,,,13.8,6.5
65,John Long,TOR,40,195.58,90.7184,USA,1978,2,29,4,-9.8
66,John Crotty,MIA,27,187.96,83.91452,USA,,,,4.8,-2.1
67,Joe Wolf,MIL,32,210.82,117.93392,USA,1987,1,13,1.7,-3.5
68,Joe Stephens,HOU,24,200.66,95.25432,USA,,,,1.5,-17.4
69,Joe Smith,GSW,21,208.28,102.0582,USA,1995,1,1,18.7,-3.3
70,Joe Kleine,NJN,35,213.36,122.923432,USA,1985,1,6,2.8,-7.6
71,Joe Dumars,DET,34,190.5,88.45044,USA,1985,1,18,14.7,6.1
72,Joe Courtney,SAS,27,203.2,106.59412,USA,,,,2.8,-6.1
73,Jimmy Oliver,TOR,27,,92.98636,USA,1991,2,39,2.8,-40.8
74,Jimmy King,DEN,23,195.58,95.25432,USA,1995,2,35,3,-42.5
75,Jimmy Carruth,MIL,27,208.28,120.20188,USA,,,,1.3,-17.7
76,Jim McIlvaine,SEA,24,215.9,117.93392,USA,1994,2,32,3.8,9.7
77,Jim Jackson,NJN,26,,97.52228,USA,1992,1,4,15.9,-8.4
78,Jerry Stackhouse,PHI,22,198.12,98.883056,USA,1995,1,3,20.7,-6.8
79,Keith Tower,MIL,27,210.82,113.398,USA,,,,1.4,5.6
80,Ken Norman,ATL,32,203.2,97.52228,USA,1987,1,19,3.8,-9.1
81,Kendall Gill,NJN,29,195.58,97.975872,USA,1990,1,5,21.8,-3.6
82,Kenny Anderson,POR,26,185.42,76.203456,USA,1991,1,2,17.5,4.8
83,Litterial Green,DET,27,185.42,83.91452,USA,1992,2,39,2,17
84,Lionel Simmons,SAC,28,200.66,95.25432,USA,1990,1,7,3.4,-10.5
85,Lindsey Hunter,DET,26,187.96,88.45044,USA,1993,1,10,14.2,5.1
86,Lee Mayberry,VAN,27,185.42,81.64656,USA,1992,1,23,5.1,-11
